Date,Accident_Count,Road_conditions_Snow,Road_conditions_Wet,Road_conditions_Dry,Road_conditions_Frost,Road_conditions_Flood,Road_conditions_Missing_Data,Weather_conditions_Unknown,Weather_conditions_Rain,Weather_conditions_Snow,Weather_conditions_Fog,Weather_conditions_Clear,Weather_conditions_Clear_and_windy,Weather_conditions_Other,Weather_conditions_Rain_and_windy,Weather_conditions_Snow_and_windy,Weather_conditions_Missing_data,Road_type_Dual_carriageway,Road_type_Unknown,Road_type_Single_carriageway,Road_type_Roundabout,Road_type_One_way_sreet,Road_type_Slip_road,Light_conditions_Darkness_lights_lit,Light_conditions_Daylight,Light_conditions_Darkness_no_lights
1979-05-07,80,0,0,80,0,0,0,21,0,0,0,58,0,1,0,0,0,1,12,63,4,0,0,6,73,1
1979-05-08,43,0,1,42,0,0,0,7,0,0,0,35,0,1,0,0,0,2,3,37,1,0,0,1,41,1
1979-05-09,100,0,1,99,0,0,0,23,1,0,0,76,0,0,0,0,0,7,18,69,6,0,0,4,94,2
1979-05-10,97,0,4,93,0,0,0,31,2,0,1,63,0,0,0,0,0,4,20,70,3,0,0,12,80,5
1979-05-11,82,0,33,49,0,0,0,17,19,0,0,39,7,0,0,0,0,6,12,62,2,0,0,30,49,3
1979-05-12,87,0,68,19,0,0,0,5,40,0,0,29,4,0,9,0,0,7,9,58,13,0,0,49,37,1
1979-05-13,91,0,1,90,0,0,0,13,0,0,2,76,0,0,0,0,0,6,8,76,1,0,0,4,87,0
1979-05-14,97,0,0,97,0,0,0,25,0,0,0,72,0,0,0,0,0,2,16,74,5,0,0,3,94,0
1979-05-15,87,0,2,85,0,0,0,23,0,0,1,62,0,1,0,0,0,3,15,66,3,0,0,3,83,1
1979-05-16,65,0,15,50,0,0,0,16,11,0,1,36,1,0,0,0,0,5,12,46,2,0,0,5,60,0
1979-05-17,77,0,24,53,0,0,0,19,14,0,0,38,5,0,1,0,0,5,10,58,4,0,0,8,69,0
1979-05-18,97,0,20,77,0,0,0,25,8,1,0,63,0,0,0,0,0,6,16,69,6,0,0,3,94,0
1979-05-19,77,0,1,76,0,0,0,24,0,0,0,53,0,0,0,0,0,1,17,57,2,0,0,3,74,0
1979-05-20,38,0,21,17,0,0,0,3,16,0,0,19,0,0,0,0,0,1,6,28,3,0,0,1,37,0
1979-05-21,72,0,29,43,0,0,0,14,17,0,0,40,1,0,0,0,0,6,8,55,3,0,0,3,69,0
1979-05-22,71,0,20,51,0,0,0,20,7,0,0,41,1,1,1,0,0,3,20,47,1,0,0,1,68,2
1979-05-23,77,0,26,51,0,0,0,13,11,0,0,51,2,0,0,0,0,10,15,46,6,0,0,3,74,0
1979-05-24,82,0,18,64,0,0,0,18,11,0,0,53,0,0,0,0,0,4,15,60,3,0,0,3,78,1
1979-05-25,82,0,21,61,0,0,0,20,12,0,0,49,1,0,0,0,0,5,16,55,6,0,0,2,79,1
1979-05-26,48,1,30,17,0,0,0,3,28,0,0,14,2,0,1,0,0,2,10,29,7,0,0,4,44,0
1979-05-27,40,0,11,29,0,0,0,8,9,0,0,23,0,0,0,0,0,1,5,32,2,0,0,1,39,0
1979-05-28,26,0,18,8,0,0,0,4,9,0,0,13,0,0,0,0,0,4,3,18,1,0,0,0,26,0
1979-05-29,82,0,12,70,0,0,0,19,7,0,0,55,1,0,0,0,0,6,13,60,3,0,0,2,80,0
1979-05-30,62,0,25,37,0,0,0,12,19,0,0,30,1,0,0,0,0,3,6,48,5,0,0,0,61,1
1979-05-31,82,0,10,72,0,0,0,15,2,0,0,65,0,0,0,0,0,4,11,67,0,0,0,7,73,2
1979-06-01,12,1,7,2,2,0,0,5,0,0,0,7,0,0,0,0,0,2,1,7,2,0,0,2,9,1
1979-06-02,48,4,9,29,6,0,0,17,3,0,1,23,0,0,4,0,0,3,10,32,3,0,0,17,28,3
1979-06-03,58,0,36,22,0,0,0,10,28,0,0,10,6,0,4,0,0,2,8,39,9,0,0,14,40,4
1979-06-04,46,0,17,29,0,0,0,14,9,0,1,22,0,0,0,0,0,4,10,30,2,0,0,4,41,1
1979-06-05,50,0,8,42,0,0,0,9,5,0,0,35,0,0,1,0,0,4,6,38,2,0,0,3,47,0
1979-06-06,71,0,5,66,0,0,0,22,3,0,0,46,0,0,0,0,0,7,13,46,5,0,0,2,69,0
1979-06-07,101,0,0,101,0,0,0,18,0,0,0,83,0,0,0,0,0,4,10,79,8,0,0,6,95,0
1979-06-08,95,0,3,92,0,0,0,24,3,0,0,68,0,0,0,0,0,2,15,74,4,0,0,6,89,0
1979-06-09,87,0,0,87,0,0,0,30,0,0,0,56,0,1,0,0,0,8,15,60,4,0,0,9,78,0
1979-06-10,57,0,10,47,0,0,0,12,8,0,0,34,1,0,2,0,0,3,10,41,3,0,0,9,47,1
1979-06-11,82,0,60,21,1,0,0,10,33,1,0,27,4,1,6,0,0,2,20,54,6,0,0,31,47,4
1979-06-12,61,0,41,20,0,0,0,22,10,0,1,28,0,0,0,0,0,6,12,36,7,0,0,33,25,3
1979-06-13,71,0,18,53,0,0,0,10,11,0,0,50,0,0,0,0,0,4,9,57,1,0,0,3,68,0
1979-06-14,84,0,22,62,0,0,0,18,14,0,0,48,4,0,0,0,0,9,17,55,3,0,0,5,79,0
1979-06-15,69,0,9,60,0,0,0,11,5,0,0,48,5,0,0,0,0,7,5,53,4,0,0,0,68,1
1979-06-16,90,0,0,90,0,0,0,20,0,0,0,70,0,0,0,0,0,6,14,67,3,0,0,1,88,1
1979-06-17,61,0,0,61,0,0,0,21,0,0,0,40,0,0,0,0,0,3,15,40,3,0,0,1,60,0
1979-06-18,96,0,0,96,0,0,0,30,1,0,0,65,0,0,0,0,0,2,22,68,4,0,0,1,95,0
1979-06-19,87,0,0,87,0,0,0,26,0,0,0,61,0,0,0,0,0,6,16,61,4,0,0,0,87,0
1979-06-20,108,0,1,107,0,0,0,27,0,0,1,79,0,1,0,0,0,7,25,70,6,0,0,5,102,1
1979-06-21,78,0,28,50,0,0,0,15,16,0,0,46,1,0,0,0,0,7,14,55,2,0,0,1,76,1
1979-06-22,94,0,2,92,0,0,0,25,1,0,0,67,0,1,0,0,0,6,18,66,4,0,0,4,89,1
1979-06-23,72,0,13,59,0,0,0,16,9,0,0,47,0,0,0,0,0,8,13,48,3,0,0,2,69,1
1979-06-24,44,0,16,28,0,0,0,10,9,0,0,24,1,0,0,0,0,5,10,27,2,0,0,2,42,0
1979-06-25,87,0,10,77,0,0,0,18,7,0,0,61,1,0,0,0,0,3,14,65,5,0,0,1,86,0
1979-06-26,88,0,5,83,0,0,0,22,5,0,0,61,0,0,0,0,0,7,13,62,6,0,0,0,87,1
1979-06-27,79,0,0,79,0,0,0,25,0,0,0,54,0,0,0,0,0,3,11,62,3,0,0,2,75,2
1979-06-28,92,0,7,85,0,0,0,21,4,0,0,65,2,0,0,0,0,9,11,68,4,0,0,3,87,2
1979-06-29,86,0,4,82,0,0,0,18,2,0,0,65,1,0,0,0,0,3,10,72,1,0,0,4,82,0
1979-06-30,70,0,1,69,0,0,0,19,0,0,0,50,1,0,0,0,0,4,19,45,2,0,0,4,63,3
1979-07-01,16,0,14,1,1,0,0,1,5,0,0,10,0,0,0,0,0,0,1,13,2,0,0,6,8,2
1979-07-02,46,0,38,8,0,0,0,11,22,0,1,12,0,0,0,0,0,3,7,30,6,0,0,14,31,1
1979-07-03,65,1,16,47,1,0,0,12,3,1,0,46,3,0,0,0,0,3,3,54,5,0,0,13,51,1
1979-07-04,37,0,11,26,0,0,0,9,5,0,0,22,1,0,0,0,0,2,5,27,3,0,0,2,35,0
1979-07-05,52,0,14,38,0,0,0,10,11,0,0,30,1,0,0,0,0,4,8,38,2,0,0,5,45,2
1979-07-06,89,0,26,63,0,0,0,24,17,0,0,47,0,0,1,0,0,4,21,61,3,0,0,3,84,2
1979-07-07,70,0,5,65,0,0,0,21,3,0,0,46,0,0,0,0,0,1,11,54,4,0,0,5,63,2
1979-07-08,87,0,29,57,0,1,0,24,17,0,0,44,1,0,1,0,0,4,18,58,7,0,0,2,84,1
1979-07-09,82,0,1,81,0,0,0,23,0,0,0,59,0,0,0,0,0,4,17,57,4,0,0,3,76,3
1979-07-10,57,0,10,47,0,0,0,13,3,0,0,41,0,0,0,0,0,2,8,43,4,0,0,5,52,0
1979-07-11,76,0,64,12,0,0,0,9,38,0,0,22,2,0,5,0,0,6,13,45,12,0,0,32,41,3
1979-07-12,93,0,81,12,0,0,0,22,38,0,0,30,0,0,3,0,0,3,12,73,5,0,0,47,41,5
1979-07-13,104,0,2,102,0,0,0,21,1,0,0,82,0,0,0,0,0,10,10,76,8,0,0,5,97,2
1979-07-14,52,0,2,50,0,0,0,13,1,0,0,38,0,0,0,0,0,4,10,38,0,0,0,2,49,1
1979-07-15,64,0,0,64,0,0,0,14,0,0,0,48,1,1,0,0,0,5,13,45,1,0,0,5,58,1
1979-07-16,75,0,8,67,0,0,0,17,7,0,0,51,0,0,0,0,0,5,12,53,5,0,0,4,70,1
1979-07-17,94,0,5,89,0,0,0,24,3,0,0,65,2,0,0,0,0,7,18,68,1,0,0,6,87,1
1979-07-18,67,0,8,59,0,0,0,21,4,0,0,40,1,1,0,0,0,3,11,52,1,0,0,3,62,2
1979-07-19,93,0,8,85,0,0,0,24,7,0,0,58,2,2,0,0,0,10,12,67,4,0,0,4,88,1
1979-07-20,92,0,3,89,0,0,0,30,0,0,0,62,0,0,0,0,0,5,18,64,5,0,0,5,85,2
1979-07-21,55,0,2,53,0,0,0,13,0,0,0,41,1,0,0,0,0,1,6,46,2,0,0,3,51,1
1979-07-22,45,0,1,44,0,0,0,9,0,0,0,36,0,0,0,0,0,1,5,37,2,0,0,4,41,0
1979-07-23,86,0,5,81,0,0,0,21,5,0,0,60,0,0,0,0,0,4,18,59,5,0,0,3,83,0
1979-07-24,101,0,12,88,1,0,0,19,6,0,0,75,1,0,0,0,0,5,12,82,2,0,0,3,97,1
1979-07-25,104,0,7,97,0,0,0,20,1,0,0,83,0,0,0,0,0,5,13,83,3,0,0,2,102,0
1979-07-26,127,0,3,124,0,0,0,33,1,0,0,92,0,1,0,0,0,7,28,86,6,0,0,8,116,3
1979-07-27,100,0,3,97,0,0,0,23,1,0,0,76,0,0,0,0,0,9,13,71,7,0,0,2,98,0
1979-07-28,67,0,8,59,0,0,0,18,5,0,0,43,1,0,0,0,0,1,15,50,1,0,0,8,58,1
1979-07-29,44,0,9,35,0,0,0,10,6,0,0,28,0,0,0,0,0,0,6,36,2,0,0,3,41,0
1979-07-30,87,0,13,74,0,0,0,23,5,0,0,58,0,1,0,0,0,4,14,62,7,0,0,3,83,1
1979-07-31,84,0,16,68,0,0,0,25,8,0,0,49,2,0,0,0,0,6,22,55,1,0,0,4,79,1
1979-08-01,56,1,41,12,2,0,0,15,11,0,0,28,1,1,0,0,0,4,10,36,6,0,0,18,32,6
1979-08-02,44,2,3,35,3,0,1,12,1,0,0,30,0,1,0,0,0,0,7,34,3,0,0,12,31,1
